t,acc
6.67,-7.24E-02
6.68,-8.69E-02
6.69,-5.02E-02
6.7,-6.60E-02
6.71,-5.50E-02
6.72,-5.03E-02
6.73,-8.08E-02
6.74,-7.73E-02
6.75,-7.32E-02
6.76,-5.78E-02
6.77,-6.33E-02
6.78,-7.32E-02
6.79,-6.77E-02
6.8,-6.28E-02
6.81,-5.54E-02
6.82,-5.92E-02
6.83,-7.15E-02
6.84,-8.57E-02
6.85,-8.56E-02
6.86,-6.45E-02
6.87,-3.76E-02
6.88,-5.46E-02
6.89,-8.10E-02
6.9,-6.71E-02
6.91,-7.18E-02
6.92,-6.59E-02
6.93,-5.44E-02
6.94,-6.25E-02
6.95,-6.75E-02
6.96,-1.03E-01
6.97,-8.43E-02
6.98,-3.41E-02
6.99,-3.93E-02
7,-5.67E-02
7.01,-8.60E-02
7.02,-9.36E-02
7.03,-7.07E-02
7.04,-5.21E-02
7.05,-4.82E-02
7.06,-7.12E-02
7.07,-8.62E-02
7.08,-6.21E-02
7.09,-5.43E-02
7.1,-6.95E-02
7.11,-7.44E-02
7.12,-9.34E-02
7.13,-6.56E-02
7.14,-2.98E-02
7.15,-5.09E-02
7.16,-7.65E-02
7.17,-9.85E-02
7.18,-7.74E-02
7.19,-5.49E-02
7.2,-5.12E-02
7.21,-5.94E-02
7.22,-8.33E-02
7.23,-6.31E-02
7.24,-6.54E-02
7.25,-6.45E-02
7.26,-6.41E-02
7.27,-9.06E-02
7.28,-5.85E-02
7.29,-5.51E-02
7.3,-8.01E-02
7.31,-8.11E-02
7.32,-5.68E-02
7.33,-4.31E-02
7.34,-6.34E-02
7.35,-6.55E-02
7.36,-9.68E-02
7.37,-7.47E-02
7.38,-4.05E-02
7.39,-7.69E-02
7.4,-5.24E-02
7.41,-5.19E-02
7.42,-8.09E-02
7.43,-7.41E-02
7.44,-8.41E-02
7.45,-6.06E-02
7.46,-5.34E-02
7.47,-8.97E-02
7.48,-7.29E-02
7.49,-6.52E-02
7.5,-6.53E-02
7.51,-4.29E-02
7.52,-8.22E-02
7.53,-7.69E-02
7.54,-3.58E-02
7.55,-6.38E-02
7.56,-7.49E-02
7.57,-8.13E-02
7.58,-9.36E-02
7.59,-7.75E-02
7.6,-4.53E-02
7.61,-3.07E-02
7.62,-6.51E-02
7.63,-7.44E-02
7.64,-6.69E-02
7.65,-9.66E-02
7.66,-8.01E-02
7.67,-3.86E-02
7.68,-5.19E-02
7.69,-5.58E-02
7.7,-7.14E-02
7.71,-9.57E-02
7.72,-6.84E-02
7.73,-7.82E-02
7.74,-7.11E-02
7.75,-3.35E-02
7.76,-6.91E-02
7.77,-8.22E-02
7.78,-6.78E-02
7.79,-9.47E-02
7.8,-8.34E-02
7.81,-3.25E-02
7.82,-4.38E-02
7.83,-7.82E-02
7.84,-6.39E-02
7.85,-7.79E-02
7.86,-7.86E-02
7.87,-5.54E-02
7.88,-9.28E-02
7.89,-5.79E-02
7.9,-1.99E-02
7.91,-7.19E-02
7.92,-8.94E-02
7.93,-9.15E-02
7.94,-6.33E-02
7.95,-4.34E-02
7.96,-6.39E-02
7.97,-6.95E-02
7.98,-7.94E-02
7.99,-6.38E-02
8,-7.24E-02
8.01,-7.80E-02
8.02,-5.46E-02
8.03,-8.23E-02
8.04,-4.77E-02
8.05,-4.07E-02
8.06,-8.89E-02
8.07,-6.45E-02
8.08,-9.05E-02
8.09,-8.47E-02
8.1,-5.17E-02
8.11,-8.33E-02
8.12,-5.26E-02
8.13,-4.01E-02
8.14,-7.46E-02
8.15,-6.27E-02
8.16,-7.42E-02
8.17,-7.84E-02
8.18,-5.80E-02
8.19,-8.20E-02
8.2,-7.02E-02
8.21,-5.93E-02
8.22,-5.23E-02
8.23,-4.22E-02
8.24,-1.06E-01
8.25,-9.34E-02
8.26,-5.43E-02
8.27,-6.29E-02
8.28,-4.63E-02
8.29,-6.56E-02
8.3,-7.11E-02
8.31,-6.85E-02
8.32,-7.94E-02
8.33,-7.48E-02
8.34,-8.35E-02
8.35,-4.99E-02
8.36,-4.22E-02
8.37,-7.60E-02
8.38,-6.87E-02
8.39,-7.32E-02
8.4,-6.85E-02
8.41,-7.72E-02
8.42,-8.54E-02
8.43,-4.77E-02
8.44,-5.56E-02
8.45,-7.48E-02
8.46,-6.50E-02
8.47,-5.99E-02
8.48,-7.65E-02
8.49,-9.31E-02
8.5,-6.83E-02
8.51,-5.76E-02
8.52,-7.12E-02
8.53,-6.25E-02
8.54,-5.16E-02
8.55,-5.47E-02
